age,ast_pct,blk_pct,bpm,bpm_dum,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,lg_id,mp,name,obpm,orb_pct,ows,per,pid,pos,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_dum,ws_per_48
19,12.0,1.9,-1.4,,-0.7,10.9,1.9,.150,.328,80,NBA,2768,Kevin Durant,-0.6,2.8,0.4,15.8,0,SG,2007-08,1.4,SEA,12.9,6.9,.519,28.1,0.4,2.3,,.040
20,13.5,1.4,1.8,,-0.5,16.4,2.7,.165,.377,74,NBA,2885,Kevin Durant,2.2,3.0,5.2,20.8,0,SF,2008-09,1.7,OKC,12.2,9.6,.577,28.3,2.8,7.9,,.132
21,13.5,1.9,5.1,,0.2,17.9,5.0,.210,.504,82,NBA,3239,Kevin Durant,4.9,3.8,11.1,26.2,0,SF,2009-10,1.8,OKC,11.7,11.0,.607,32.0,5.8,16.1,,.238
22,13.2,1.8,2.9,,-0.8,17.7,3.3,.269,.439,78,NBA,3038,Kevin Durant,3.7,2.3,8.6,23.6,0,SF,2010-11,1.5,OKC,10.6,10.3,.589,30.6,3.7,12.0,,.189
23,17.5,2.2,5.2,,0.5,20.4,3.7,.265,.386,66,NBA,2546,Kevin Durant,4.7,1.9,8.5,26.2,0,SF,2011-12,1.8,OKC,14.0,11.8,.610,31.3,4.6,12.2,,.230
24,21.7,2.6,7.7,,1.4,20.3,5.3,.233,.523,81,NBA,3119,Kevin Durant,6.2,1.8,13.6,28.3,0,SF,2012-13,1.9,OKC,13.7,11.8,.647,29.8,7.6,18.9,,.291
25,26.7,1.5,8.8,,0.4,18.6,4.4,.291,.477,81,NBA,3122,Kevin Durant,8.4,2.2,14.8,29.8,0,SF,2013-14,1.7,OKC,12.2,10.8,.635,33.0,8.5,19.2,,.295
26,22.2,2.2,6.1,,-0.2,18.7,1.0,.340,.366,27,NBA,913,Kevin Durant,6.3,1.9,3.8,27.6,0,SF,2014-15,1.3,OKC,12.0,10.4,.633,29.1,1.9,4.8,,.252
27,24.2,2.5,7.9,,0.9,21.8,3.5,.348,.361,72,NBA,2578,Kevin Durant,7.0,2.0,11.0,28.2,0,SF,2015-16,1.3,OKC,13.5,12.4,.634,30.6,6.4,14.5,,.270
28,23.1,3.8,8.0,,2.6,23.6,4.0,.304,.374,62,NBA,2070,Kevin Durant,5.4,2.2,8.0,27.6,0,PF,2016-17,1.5,GSW,10.4,13.6,.651,27.8,5.2,12.0,,.278
29,25.5,4.0,5.6,,0.7,19.5,2.9,.338,.331,68,NBA,2325,Kevin Durant,5.0,1.6,7.5,26.0,0,PF,2017-18,1.0,GSW,12.9,11.2,.640,30.4,4.5,10.4,,.215
