age,ast_per_g,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,lg_id,mp_per_g,name,orb_per_g,pf_per_g,pid,pos,pts_per_g,season,stl_per_g,team_id,tov_per_g,trb_per_g
19,2.4,0.9,3.5,.451,.455,6.6,14.5,.288,0.7,2.6,.430,7.3,17.1,.873,4.9,5.6,80,80,NBA,34.6,Kevin Durant,0.9,1.5,0,SG,20.3,2007-08,1.0,SEA,2.9,4.4
20,2.8,0.7,5.5,.510,.486,7.6,15.7,.422,1.3,3.1,.476,8.9,18.8,.863,6.1,7.1,74,74,NBA,39.0,Kevin Durant,1.0,1.8,0,SF,25.3,2008-09,1.3,OKC,3.0,6.5
21,2.8,1.0,6.3,.514,.506,8.1,16.1,.365,1.6,4.3,.476,9.7,20.3,.900,9.2,10.2,82,82,NBA,39.5,Kevin Durant,1.3,2.1,0,SF,30.1,2009-10,1.4,OKC,3.3,7.6
22,2.7,1.0,6.1,.509,.504,7.3,14.4,.350,1.9,5.3,.462,9.1,19.7,.880,7.6,8.7,78,78,NBA,38.9,Kevin Durant,0.7,2.0,0,SF,27.7,2010-11,1.1,OKC,2.8,6.8
23,3.5,1.2,7.4,.547,.535,7.7,14.4,.387,2.0,5.2,.496,9.7,19.7,.860,6.5,7.6,66,66,NBA,38.6,Kevin Durant,0.6,2.0,0,SF,28.0,2011-12,1.3,OKC,3.8,8.0
24,4.6,1.3,7.3,.559,.539,7.3,13.6,.416,1.7,4.1,.510,9.0,17.7,.905,8.4,9.3,81,81,NBA,38.5,Kevin Durant,0.6,1.8,0,SF,28.1,2012-13,1.4,OKC,3.5,7.9
25,5.5,0.7,6.7,.560,.549,8.1,14.8,.391,2.4,6.1,.503,10.5,20.8,.873,8.7,9.9,81,81,NBA,38.5,Kevin Durant,0.7,2.1,0,SF,32.0,2013-14,1.3,OKC,3.5,7.4
26,4.1,0.9,6.0,.578,.565,6.4,11.4,.403,2.4,5.9,.510,8.8,17.3,.854,5.4,6.3,27,27,NBA,33.8,Kevin Durant,0.6,1.5,0,SF,25.4,2014-15,0.9,OKC,2.7,6.6
27,5.0,1.2,7.6,.573,.569,7.1,12.5,.387,2.6,6.7,.505,9.7,19.2,.898,6.2,6.9,72,72,NBA,35.8,Kevin Durant,0.6,1.9,0,SF,28.2,2015-16,1.0,OKC,3.5,8.2
28,4.8,1.6,7.6,.594,.608,7.0,11.5,.375,1.9,5.0,.537,8.9,16.5,.875,5.4,6.2,62,62,NBA,33.4,Kevin Durant,0.6,1.9,0,PF,25.1,2016-17,1.1,GSW,2.2,8.3
29,5.4,1.8,6.4,.586,.565,6.7,11.9,.419,2.5,6.1,.516,9.3,18.0,.889,5.3,5.9,68,68,NBA,34.2,Kevin Durant,0.5,2.0,0,PF,26.4,2017-18,0.7,GSW,3.0,6.8
