age,and1s,astd_pts,drawn_shooting,fga_blkd,fouls_blocking,fouls_offensive,fouls_shooting,fouls_take,g,lg_id,mp,name,pct_1,pct_2,pct_3,pct_4,pct_5,pid,plus_minus_net,plus_minus_on,pos,season,team_id,tov_bad_pass,tov_lost_ball,tov_other
19,37,407,187,85,,28,63,,80,NBA,2768,Kevin Durant,,94%,6%,,,0,-8.7,-11.6,SG,2007-08,SEA,81,96,55
20,43,454,210,73,,39,65,,74,NBA,2885,Kevin Durant,,12%,80%,8%,,0,-8.5,-9.1,SF,2008-09,OKC,78,83,64
21,56,513,325,67,,41,84,,82,NBA,3239,Kevin Durant,,3%,89%,8%,,0,+16.5,+7.1,SF,2009-10,OKC,89,114,68
22,42,476,229,49,,31,88,,78,NBA,3038,Kevin Durant,,3%,85%,12%,,0,-0.6,+4.0,SF,2010-11,OKC,69,97,52
23,48,542,189,42,,30,61,,66,NBA,2546,Kevin Durant,,,78%,22%,,0,+1.9,+7.1,SF,2011-12,OKC,91,111,46
24,55,900,284,44,,25,74,3,81,NBA,3119,Kevin Durant,,,77%,23%,,0,+7.2,+11.3,SF,2012-13,OKC,119,115,46
25,68,1004,301,42,3,22,94,5,81,NBA,3122,Kevin Durant,,4%,70%,26%,,0,+6.0,+8.0,SF,2013-14,OKC,123,115,47
26,16,250,64,8,2,7,22,1,27,NBA,913,Kevin Durant,,1%,75%,25%,,0,+8.4,+8.5,SF,2014-15,OKC,42,23,9
27,32,825,169,38,6,16,70,2,72,NBA,2578,Kevin Durant,,,74%,26%,,0,+13.0,+11.7,SF,2015-16,OKC,100,115,35
28,45,733,166,28,1,10,73,3,62,NBA,2070,Kevin Durant,,,44%,55%,,0,+8.1,+15.6,PF,2016-17,GSW,78,39,21
29,43,863,166,38,0,17,77,1,68,NBA,2325,Kevin Durant,,,10%,77%,14%,0,+1.4,+6.8,PF,2017-18,GSW,113,49,46
