age,ast,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,gs,lg_id,mp,name,orb,pf,pid,pos,pts,season,stl,team_id,tov,trb
19,192,75,278,.451,587,528,.455,1161,59,.288,205,.430,1366,391,.873,448,80,80,NBA,2768,Kevin Durant,70,122,0,SG,1624,2007-08,78,SEA,232,348
20,205,53,405,.510,661,564,.486,1160,97,.422,230,.476,1390,452,.863,524,74,74,NBA,2885,Kevin Durant,77,134,0,SF,1871,2008-09,96,OKC,225,482
21,231,84,518,.514,794,666,.506,1317,128,.365,351,.476,1668,756,.900,840,82,82,NBA,3239,Kevin Durant,105,171,0,SF,2472,2009-10,112,OKC,271,623
22,214,76,476,.509,711,566,.504,1124,145,.350,414,.462,1538,594,.880,675,78,78,NBA,3038,Kevin Durant,57,159,0,SF,2161,2010-11,88,OKC,218,533
23,231,77,487,.547,643,510,.535,953,133,.387,344,.496,1297,431,.860,501,66,66,NBA,2546,Kevin Durant,40,133,0,SF,1850,2011-12,88,OKC,248,527
24,374,105,594,.559,731,592,.539,1099,139,.416,334,.510,1433,679,.905,750,81,81,NBA,3119,Kevin Durant,46,143,0,SF,2280,2012-13,116,OKC,280,640
25,445,59,540,.560,849,657,.549,1197,192,.391,491,.503,1688,703,.873,805,81,81,NBA,3122,Kevin Durant,58,174,0,SF,2593,2013-14,103,OKC,285,598
26,110,25,162,.578,238,174,.565,308,64,.403,159,.510,467,146,.854,171,27,27,NBA,913,Kevin Durant,16,40,0,SF,686,2014-15,24,OKC,74,178
27,361,85,544,.573,698,512,.569,900,186,.387,481,.505,1381,447,.898,498,72,72,NBA,2578,Kevin Durant,45,137,0,SF,2029,2015-16,69,OKC,250,589
28,300,99,474,.594,551,434,.608,714,117,.375,312,.537,1026,336,.875,384,62,62,NBA,2070,Kevin Durant,39,117,0,PF,1555,2016-17,66,GSW,138,513
29,366,119,433,.586,630,457,.565,809,173,.419,413,.516,1222,359,.889,404,68,68,NBA,2325,Kevin Durant,31,133,0,PF,1792,2017-18,50,GSW,207,464
